protein,num_seqs,num_seqs_unfiltered,perc_filtered,n_eff,n_eff_l,seq_len,num_cov,perc_cov
EHEE-rd1-0882_rockdoms_1,461947,462120,0.9996256383623301,104282.58782295205,2607.064695573801,40,32,0.8
O14640_PF00595_246,592053,592516,0.9992185865023054,592053.0,6366.1612903225805,93,86,0.9247311827956989
O15350_PF07647_487,60301,60338,0.9993867877622725,1551.437193054216,24.625987191336762,63,59,0.9365079365079365
O43353_PF00619_438,15279,15348,0.9955043002345583,1626.7186660424704,20.082946494351486,81,72,0.8888888888888888
P36075_PF02845_9,31180,31197,0.9994550758085713,3598.0432295845494,92.25751870729614,39,35,0.8974358974358975
P55895_PF13341_415,1295,1330,0.9736842105263158,15.692191713265927,0.20379469757488217,77,77,1.0
P61960_PF03671_4,1735,1747,0.9931310818546079,50.370648757981314,0.6806844426754232,74,74,1.0
Q01826_PF02376_371,12572,12605,0.9973819912733043,91.59067761046799,1.2212090348062399,75,75,1.0
Q01826_PF02376_494,12611,12644,0.9973900664346725,102.51224817873316,1.3853006510639616,74,74,1.0
Q01826_PF16557_178,3776,3783,0.9981496167063177,39.75377038078828,0.5679110054398326,70,70,1.0
Q13009_PF00595_843,7887,7897,0.9987336963403824,178.347276901042,2.1231818678695475,84,83,0.9880952380952381
Q13163_PF00564_15,1971,1971,1.0,44.32326963971584,0.4665607330496404,95,95,1.0
Q5U5Q3_PF00013_325,256098,256392,0.998853318356267,13057.462734162751,194.88750349496644,67,61,0.9104477611940298
Q86XN8_PF00013_273,247947,248242,0.9988116434769297,12758.232752223807,187.6210698856442,68,64,0.9411764705882353
Q96JY0_PF09011_3,136271,136569,0.9978179528297051,10168.889347808949,147.37520793926012,69,63,0.9130434782608695
Q9H3D4_PF07647_545,130261,130333,0.9994475689196136,4473.852912365651,67.78565018735834,66,58,0.8787878787878788
Q9NYL2_PF00536_330,45312,45357,0.9990078708909319,3002.371761566673,35.74252097103182,84,68,0.8095238095238095
Q9UL15_PF02179_280,1189,1194,0.9958123953098827,21.40054122741165,0.31015277141176306,69,69,1.0
Q9UPW6_PF02376_358,12508,12542,0.9972891085951204,86.24294675291573,1.1200382695183861,77,76,0.987012987012987
Q9UPW6_PF02376_482,12531,12564,0.9973734479465138,77.7898192366566,1.037197589822088,75,74,0.9866666666666667
EEHEE-rd3-0037_rockdoms_1,1,1,1.0,1.0,0.023255813953488372,43,43,1.0
HHH-rd1-0142_rockdoms_1,95905,96071,0.9982721112510539,5573.055861156105,129.60595025944428,43,38,0.8837209302325582
