,DMS_ID,Site_Independent,EVmutation,EVE_ensemble,MSA_Transformer_ensemble,ESM2_650M,GEMME,VespaG,Tranception_L_no_retrieval,Tranception_L,TranceptEVE_L,ESM-IF1_142M,ProteinMPNN,SaProt_650M_AF2,PoET,ESCOTT,VenusREM,ProSST-2048,RSALOR,ESM3_1.4B_open,Progen3_3B,AIDO.Protein-RAG-16B
0,A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2,0.7886991679003621,0.7665379223395661,0.7741944333458494,0.7235072630806477,0.770878029421993,0.7796278454605812,0.7575515841618512,0.7697299477764205,0.7716255244173006,0.7675613414693806,0.775312402386528,0.8068969117665132,0.7641893787661672,0.7703260211854458,0.7777040499028008,0.7689040308330899,0.7641434804225321,0.7835429275082407,0.7710777967242392,0.7527808340626925,0.7636901552729123
1,FEZF1_HUMAN_Beltran_2025_PF00096_289,0.7055756748128302,0.7080815239894591,0.6966357053057676,0.7063342618100029,0.6508014251360956,0.642005148750553,0.6999971445720172,0.6528683668959377,0.6906898425760796,0.6982972747788602,0.6681502938477876,0.7092955989217102,0.6646618320263797,0.7152737366082393,0.7096582993052651,0.6740687392581795,0.6571002724335878,0.7110689843459882,0.661864786759121,0.678378349108647,0.6529350092487146
2,SPD2B_HUMAN_Beltran_2025_PF00018_155,0.8805010368842127,0.8872492875852143,0.8744177338028184,0.8892872380928484,0.8829033311011995,0.8833975489756001,0.8908939384948594,0.8718062964162117,0.8806383951721627,0.876244437491289,0.8776288690978792,0.8814259593397294,0.880505933522936,0.8857196024130001,0.882691567761619,0.8817932246261987,0.8639196216380902,0.8652169664347871,0.8861666867987663,0.8309633804540866,0.8865332356713882
3,SPD2B_HUMAN_Beltran_2025_PF00018_222,0.9478086133797399,0.94956634055928,0.9504519523968871,0.9320771570791226,0.9392276969509102,0.9182278751126208,0.9234942248553342,0.9286881064005378,0.9358911950354822,0.9421440157651505,0.9439565792497321,0.9515356357826479,0.948474949731531,0.953913938515419,0.9227572741207335,0.9425568934631737,0.935946587639525,0.9372533765204132,0.9480912448066624,0.9089887423438372,0.9423613189717842
4,A2RRE5_HUMAN_Beltran_2025_PF01846_267,0.8362756162030908,0.8232118405743728,0.8320304044609734,0.8149707186282484,0.7991362532237339,0.7923537219025197,0.824272468979296,0.7422446541479116,0.8541884998688128,0.8461554037512302,0.9206397185276296,0.8787469438879707,0.9372073867163314,0.8212461782738772,0.7944030853262745,0.911561293642098,0.862380886030393,0.8337385697934437,0.9411123034826496,0.8120918240525974,0.8707581090738303
5,ASB14_HUMAN_Beltran_2025_PF07525_532,0.6911516766551309,0.6901169630240944,0.7008732336067642,0.6947937453412782,0.7080923200864326,0.7134585990773681,0.7622774496959814,0.7069524146479192,0.7243205979237339,0.6986131346505543,0.7772765133380132,0.7081871569723109,0.7115237491791591,0.7039717538641509,0.6862461304498272,0.6938941999078584,0.7200047467406113,0.6841603703022571,0.7909113381492491,0.7908745131798004,0.6441249766068955
6,WWP2_HUMAN_Beltran_2025_PF00397_440,0.8733123947944206,0.8819427401965247,0.9059132524723756,0.8891123337107107,0.8802670989457263,0.8831170575232282,0.8943404027552071,0.8715059979225982,0.8814570036162565,0.8859492251924034,0.8236123912662907,0.8593088760944703,0.8680422109673889,0.8861827981656359,0.8749090093426147,0.8868872315994852,0.8809975094894008,0.877924592231158,0.8860971141104618,0.8770467796205039,0.8922558215979703
7,ODPX_HUMAN_Beltran_2025_PF02817_181,0.7831324935697139,0.7632963904675629,0.7517851247859109,0.7309633841914227,0.7253420007501389,0.7470824097141627,0.7777194023685113,0.7507784438207228,0.7878025070060855,0.7923464076772526,0.8254837597472955,0.7781462279453627,0.7855324774406034,0.7466854684821105,0.7750294263296127,0.73301995618729,0.7745897590392271,0.7666632747133263,0.8514350098751514,0.6615969427802911,0.7499602541280544
8,CUX2_HUMAN_Beltran_2025_PF02376_1036,0.8930017144558723,0.8889674740688687,0.8950376229478433,0.8826044510705274,0.8715076730212817,0.8717742861552296,0.8719233448129272,0.8278794735169192,0.8833952228638603,0.8983857619230572,0.8926790987544864,0.8808156243977735,0.8917987742780619,0.8909978562624881,0.8804423335481044,0.8886422646530803,0.8640283575104929,0.8899087318347301,0.8924897373416382,0.8335467361876483,0.8902557537800269
9,CUX2_HUMAN_Beltran_2025_PF02376_895,0.9044947387008585,0.9000958340322397,0.9057753910063622,0.8756179254974579,0.887070193299373,0.8703662693961004,0.8723032359704034,0.7804110817023059,0.866054732683597,0.896440320408972,0.8717044328282079,0.8833218907377193,0.8985525952248192,0.8819917533198303,0.8700926898636255,0.8965090962221239,0.8742287403654028,0.8928803777228851,0.8882588865028351,0.8009314028368658,0.8958023477784911
