protein,num_seqs,num_seqs_unfiltered,perc_filtered,n_eff,n_eff_l,seq_len,num_cov,perc_cov
O75953_PF00226_4,125186,125462,0.9978001307168705,6947.339041497267,112.05385550802045,62,62,1.0
P11182_PF02817_171,3790,3792,0.9994725738396625,380.59587438779585,8.649906236086268,44,39,0.8863636363636364
P11961_PF02817_126,6003,6003,1.0,283.0038563934185,5.895913674862886,48,45,0.9375
P25685_PF00226_4,123835,124111,0.9977761842221882,6979.876411755566,112.57865180250913,62,62,1.0
P53804_PF13639_1957,681,681,1.0,10.882773613395745,0.2654335027657499,41,40,0.975609756097561
Q6ZSG1_PF13639_293,66970,67002,0.9995224023163488,3407.535657273102,79.24501528542098,43,42,0.9767441860465116
Q7Z6W7_PF00226_3,80747,80936,0.9976648215874271,4801.540083299498,75.02406380155466,64,63,0.984375
Q8IWR0_PF00642_906,5777,5780,0.9994809688581315,297.85438964803194,14.183542364191997,21,19,0.9047619047619048
Q8WU90_PF18044_104,19284,19286,0.9998962978326247,1064.8073820681357,50.70511343181598,21,20,0.9523809523809523
Q96K80_PF00642_138,4197,4199,0.9995236961181234,361.7752737100816,16.444330623185525,22,20,0.9090909090909091
Q99615_PF00226_382,12228,12235,0.9994278708622804,516.7526592889596,7.7127262580441736,67,63,0.9402985074626866
Q9H000_PF00642_37,8749,8751,0.9997714546908925,578.3099587514583,30.437366250076753,19,19,1.0
Q9H3Z4_PF00226_16,102305,102532,0.9977860570358522,6229.528790858194,100.47627082029345,62,61,0.9838709677419355
Q9UBS4_PF00226_25,120710,121000,0.997603305785124,7510.535232696388,119.21484496343474,63,63,1.0
Q9UHC7_PF00642_89,7424,7426,0.9997306760032318,491.8535221139982,22.35697827790901,22,20,0.9090909090909091
